"year","comuna_datachile_id","hs_reduc","comuna_name","Descripcion","fob_value_usd"
2016,15,"33","Bulnes","Aceites esenciales y resinoides",1329113
2016,31,"33","Casablanca","Aceites esenciales y resinoides",995431.87
2016,331,"33","Valparaiso","Aceites esenciales y resinoides",65411.69
2016,339,"33","Vina del Mar","Aceites esenciales y resinoides",814907.54
2016,176,"88","Mulchen","Aeronaves, vehiculos espaciales y sus partes",8504.79
2016,252,"88","Quillota","Aeronaves, vehiculos espaciales y sus partes",10330
2016,285,"88","San Felipe","Aeronaves, vehiculos espaciales y sus partes",153000
2016,339,"57","Vina del Mar","Alfombras y demas revestimientos para el suelo de materias textiles",4426.8
2016,31,"76","Casablanca","Aluminio y sus manufacturas",3423.98
2016,43,"76","Chillan","Aluminio y sus manufacturas",2794307.01
2016,64,"76","Concepcion","Aluminio y sus manufacturas",201366.13
2016,70,"76","Coronel","Aluminio y sus manufacturas",51237.53
2016,103,"76","Hijuelas","Aluminio y sus manufacturas",2348.45
2016,152,"76","Los angeles","Aluminio y sus manufacturas",756316.29
2016,252,"76","Quillota","Aluminio y sus manufacturas",49031
2016,279,"76","San Antonio","Aluminio y sus manufacturas",2538.79
2016,285,"76","San Felipe","Aluminio y sus manufacturas",9000
2016,298,"76","San Pedro de la Paz","Aluminio y sus manufacturas",10702.86
2016,312,"76","Talcahuano","Aluminio y sus manufacturas",1574869.23
2016,331,"76","Valparaiso","Aluminio y sus manufacturas",148752.23
2016,339,"76","Vina del Mar","Aluminio y sus manufacturas",337221.74
2016,31,"01","Casablanca","Animales",222165
2016,64,"01","Concepcion","Animales",20000
2016,142,"01","Llay Llay","Animales",1056950.61
2016,152,"01","Los angeles","Animales",1055000
2016,64,"91","Concepcion","Aparatos de relojeria y sus partes",1340.65
2016,331,"91","Valparaiso","Aparatos de relojeria y sus partes",45035.68
2016,339,"91","Vina del Mar","Aparatos de relojeria y sus partes",9476.38
2016,11,"06","Arauco","Arboles y plantas",15212.17
2016,18,"06","Cabrero","Arboles y plantas",322933.8
2016,31,"06","Casablanca","Arboles y plantas",66570.39
2016,103,"06","Hijuelas","Arboles y plantas",1383817.29
2016,151,"06","Los Andes","Arboles y plantas",1250
2016,152,"06","Los angeles","Arboles y plantas",3784939.86
2016,201,"06","Panquehue","Arboles y plantas",147000
2016,242,"06","Putaendo","Arboles y plantas",2960.75
2016,250,"06","Quilleco","Arboles y plantas",508842.49
2016,252,"06","Quillota","Arboles y plantas",6895.8
2016,331,"42","Valparaiso","Articulos de cuero",1863810.62
2016,339,"42","Vina del Mar","Articulos de cuero",740.44
2016,31,"73","Casablanca","Articulos de hierro o acero",1985.71
2016,63,"73","Con Con","Articulos de hierro o acero",295338.8
2016,64,"73","Concepcion","Articulos de hierro o acero",41417.34
2016,70,"73","Coronel","Articulos de hierro o acero",4228.84
2016,91,"73","Florida","Articulos de hierro o acero",223644.11
2016,103,"73","Hijuelas","Articulos de hierro o acero",2116.72
2016,151,"73","Los Andes","Articulos de hierro o acero",303700
2016,152,"73","Los angeles","Articulos de hierro o acero",4017.2
2016,208,"73","Pemuco","Articulos de hierro o acero",1229
2016,210,"73","Penco","Articulos de hierro o acero",94899.86
2016,252,"73","Quillota","Articulos de hierro o acero",42650.63
2016,279,"73","San Antonio","Articulos de hierro o acero",22.5
2016,285,"73","San Felipe","Articulos de hierro o acero",1000
2016,298,"73","San Pedro de la Paz","Articulos de hierro o acero",45715.9
2016,312,"73","Talcahuano","Articulos de hierro o acero",109672727.37
2016,331,"73","Valparaiso","Articulos de hierro o acero",54047.58
2016,339,"73","Vina del Mar","Articulos de hierro o acero",205246.4
2016,208,"17","Pemuco","Azucares y articulos de confiteria",20236551.35
2016,252,"17","Quillota","Azucares y articulos de confiteria",670
2016,331,"17","Valparaiso","Azucares y articulos de confiteria",3923.09
2016,339,"17","Vina del Mar","Azucares y articulos de confiteria",1323.96
2016,63,"89","Con Con","Barcos, embarcaciones y estructuras flotantes",671.33
2016,152,"89","Los angeles","Barcos, embarcaciones y estructuras flotantes",7647
2016,312,"89","Talcahuano","Barcos, embarcaciones y estructuras flotantes",35423.73
2016,331,"89","Valparaiso","Barcos, embarcaciones y estructuras flotantes",9755081.14
2016,15,"22","Bulnes","Bebidas, licores y vinagre",766277.62
2016,31,"22","Casablanca","Bebidas, licores y vinagre",30611688.29
2016,41,"22","Chiguayante","Bebidas, licores y vinagre",75415.95
2016,43,"22","Chillan","Bebidas, licores y vinagre",5629
2016,55,"22","Coihueco","Bebidas, licores y vinagre",23687
2016,64,"22","Concepcion","Bebidas, licores y vinagre",242076.8
2016,70,"22","Coronel","Bebidas, licores y vinagre",55874.4
2016,152,"22","Los angeles","Bebidas, licores y vinagre",18351
2016,201,"22","Panquehue","Bebidas, licores y vinagre",542459.5
2016,251,"22","Quillon","Bebidas, licores y vinagre",2121781.99
